State,County,Date,Raw Description,Information type,Mitigation type,Note,UserID,Source
Kentucky,Lexington,3/23/2020,Yard waste service will be suspended to ensure City has personnel needed to pick up solid waste and recyclables.,government,public service reduction,,NC52,https://governor.ky.gov/covid22
Kentucky,Louisville,3/24/2020,Mayor Greg Fischer today extended to May 10 the state of emergency he enacted to help stop the COVID-19 outbreak in Louisville,government,state of emergency,Until May 10,NC52,https://governor.ky.gov/covid23
Kentucky,,3/24/2020,Stay at home order,government,stay at home,Beshear signs executive order for people to stay at home,PR48,https://www.livescience.com/kentucky-coronavirus.html
Kentucky,Louisville,3/24/2020,"Mayor Greg Fischer of Louisville ordered the closure of playgrounds, basketball courts and soccer fields in the city's parks on March 24.[12]",government,non-essential closing,,TJ73,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kentucky
Kentucky,,3/25/2020,The Governor signed legislation waiving in-person school attendance requirements and giving school districts permission to engage in nontraditional/remote learning.,government,school closing,,PR48,https://www.nga.org/coronavirus/
Kentucky,Lexington,3/26/2020,"Fayette County District Court has released 48 non-felon, low risk, non-violent inmates from the jail to make it safer for the remaining inmates",government,other,,NC52,https://governor.ky.gov/covid24
Kentucky,,3/26/2020,"Beshear announced that all businesses that aren’t ""life-sustaining"" must close to in-person traffic by end-of-business March 26, the Herald Leader reported.",government,non-essential closing,,TJ73,https://www.livescience.com/kentucky-coronavirus.html
Kentucky,Louisville,3/27/2020,He said drive-thru testing is now available by appointment only through the University of Louisville and the Veterans Affairs.,government,new public services,,TJ73,https://www.wkyufm.org/post/live-blog-how-coronavirus-impacting-life-kentucky#stream/8
Kentucky,,3/28/2020,"President Donald Trump signed a new disaster declaration for Kentucky, giving it access to additional funds. The agreement will allow the Federal Emergency Management Agency to reimburse the state for measures taken to combat the coronavirus. The federal government will cover up to 75 percent of costs for supplies, extra assistance from law enforcement, temporary medical facilities among other expenses.",government,new public services,,TJ73,https://www.wkyufm.org/post/live-blog-how-coronavirus-impacting-life-kentucky#stream/6
Kentucky,,3/28/2020,Kentucky has signed an agreement with the federal Department of Labor to raise the maximum unemployment benefits by $600. It also increases how long people can receive those benefits by 13 weeks.,government,new public services,,TJ73,https://www.wkyufm.org/post/live-blog-how-coronavirus-impacting-life-kentucky#stream/7
Kentucky,Louisville,3/29/2020,Mayor Greg Fischer today again called on residents to stay home except for essential travel,government,stay at home,,NC52,https://governor.ky.gov/covid25
Kentucky,Lexington,3/30/2020,"Lexington Parks & Recreation will be canceling all programming through April 20, 2020",government,non-essential closing,,NC52,https://governor.ky.gov/covid27
